Pair,Session,Interlocutor,Joint decision,Transcription,trial_group
2,1,A,1,jeg tænker lidt den kan være begge dele ,1
2,1,B,1,ja ,1
2,1,A,1,på grund af tænderne ,1
2,1,B,1,ja og musklerne ,1
2,1,A,1,ja ,1
2,1,B,1,men den er rimelig neutral i farve ,1
2,1,A,1,ja og øjnene de gør den lidt glad ,1
2,1,B,1,ja så det kunne være en fireer ,1
2,1,A,1,skal vi prøve en fireer ,1
2,1,B,1,ja ,1
2,1,A,2,den er i hvert fald ond ,1
2,1,B,2,den skal bare,1
2,1,A,2,den skal tre ,1
2,1,B,2,treer ikk ,1
2,1,A,3,okay den er i hvert fald ikke farlig tænker jeg ,1
2,1,B,3,nej vel ,1
2,1,A,3,nej ,1
2,1,B,3,det virker også til so far har alle haft de tænder ,1
2,1,A,3,ja så det har ikke noget med det at gøre ,1
2,1,B,3,ikke umiddelbart ,1
2,1,A,3,jeg forstår ikke at den der forrige ikke var farlig ,1
2,1,B,3,nej ,1
2,1,A,3,er den neutral eller er den god ,1
2,1,B,3,det kunne de andre ,1
2,1,A,3,ja de kan være gode fordi de måske ser stærke ud ,1
2,1,B,3,ja præcis og det vil man jo gerne have er det hvad er der så med denne her neutral ,1
2,1,A,3,jeg ved det ikke skal vi sige neutral ,1
2,1,B,3,ja vi siger neutral ,1
2,1,A,4,den ligner jo ligesom den anden men den er nu er den blå ,1
2,1,B,4,nu er den blå i stedet for det er også det betyder også noget ,1
2,1,A,4,det har sikkert noget med farven at gøre ,1
2,1,B,4,ja ,1
2,1,A,4,skal vi prøve at sige den er toer at vi kan bruge den til noget ,1
2,1,B,4,ja ,1
2,1,A,4,eller skal vi gå ud fra at farven ikke har noget med det at gøre ,1
2,1,B,4,jeg tror farven har noget med det jeg tror vi prøver en toer ,1
2,1,B,5,den er ligesom den anden farlige udover den er blå er den ikk den her ,1
2,1,A,5,jo og den var forkert sidste gang den var grøn sidste gang ,1
2,1,B,5,og der var den grøn ,1
2,1,A,5,men der er altså også noget med øjnene dér ,1
2,1,B,5,ja ,1
2,1,A,5,jeg tænker den er farlig ,1
2,1,B,5,ja det tænker jeg også ,1
2,1,B,6,den skulle både være tappet og så muskler er måske tap ,1
2,1,A,6,ja det er måske et godt en god ting ,1
2,1,B,6,ja ,1
2,1,A,6,den her den kan vi måske så ikke bruge til noget ,1
2,1,B,6,nej ,1
2,1,A,6,og den ser også lidt ond ud ,1
2,1,B,6,ja ,1
2,1,A,6,er det så en treer ,1
2,1,B,6,det skal så have en treer tror jeg ja ,1
2,1,A,6,skal vi prøve ,1
2,1,B,6,ja ,1
2,1,A,7,okay så har vi måske lidt en idé om at muskler er godt ,1
2,1,B,7,ja ,1
2,1,A,7,dén ser godt ud ,1
2,1,B,7,ja den skal kun tappes ,1
2,1,A,7, på alle måder en toer ,1
2,1,B,7,en toer ,1
2,1,B,8,den har så ikke nogen muskler den skal bare ignoreres skal den ikk ,1
2,1,A,8,jo jeg tænker også en ,1
2,1,B,8,ja ,1
2,1,A,9,jamen den ser både den ser altså også lidt ond ud og vi kan ikke rigtig så bruge den til noget ,2
2,1,B,9,ja ,2
2,1,A,9,så det må være en treer vel jeg tænker ikke vi skal ignorere den for den ser lidt ond ud ,2
2,1,B,9,ja jeg tror også det er en treer ,2
2,1,A,9,tror du ,2
2,1,B,9,der er ikke noget,2
2,1,A,9,var det det første du tænkte ,2
2,1,B,9,ja ,2
2,1,A,9,okay ,2
2,1,B,9,der er ikke noget at gå ud fra at den ikke,2
2,1,A,9,nej ,2
2,1,B,9,det er vi enige om godt ,2
2,1,B,10,den har nogle gode øjne ,2
2,1,A,10,men vi kan ikke bruge den til noget ,2
2,1,B,10,vi kan ikke bruge den til noget ,2
2,1,A,10,jeg har altså en fornemmelse af at farven ikke har noget med det at gøre ,2
2,1,B,10,nej det tror jeg heller ikke ikke indtil videre ,2
2,1,A,10,nej ,2
2,1,B,10,så den skal ignoreres ,2
2,1,A,10,ja skal vi prøve ,2
2,1,B,10,ja ,2
2,1,B,11,farlig ,2
2,1,A,11,farlig ja tre ,2
2,1,B,11,ja ,2
2,1,B,12,har vi tappet nogle indtil videre ,2
2,1,A,12,det tror jeg ikke den er jo magen til ,2
2,1,B,12,ja den har bare ingen prikker ,2
2,1,A,12,nej men derfor så er det et spørgsmål om prikkerne,2
2,1,B,12,så er den neutral ,2
2,1,A,12,ja ,2
2,1,B,12,fordi den ikke har prikker ,2
2,1,A,12,men det er ikke noget vi sådan lige har lagt mærke til indtil videre skal vi prøve at sige den er farlig ,2
2,1,B,12,ja ,2
2,1,A,12,altså jeg ville gøre jeg ville gøre det ud fra øjne ,2
2,1,B,12,ja ,2
2,1,A,12,men så kan vi ja hvis den,2
2,1,B,13,okay så prikkerne gør den ,2
2,1,A,13,den det gør den farlig ,2
2,1,B,13,ja prikkerne gøre den farlig men det har også farlige øjne ,2
2,1,A,13,ja så den her den er vel begge dele ,2
2,1,B,13,den skal,2
2,1,A,13,den skal fireeren ,2
2,1,B,13,ja ,2
2,1,A,14,så prikkerne har også noget med det at gøre ,2
2,1,B,14,ja den er farlig ,2
2,1,A,14,ja på alle måder ,2
2,1,B,14,ja ,2
2,1,A,15,den er god ,2
2,1,B,15,ja den vil vi gerne tappe for den har muskler ,2
2,1,A,15,ja ,2
2,1,B,16,den skal tapppes ,2
2,1,A,16,den er god og farlig ,2
2,1,B,16,ja ,2
2,1,A,16,så den skal have en fireer ,2
2,1,B,16,ja ,2
2,1,B,17, den er kun farlig ,3
2,1,A,17,den er kun farlig ,3
2,1,B,18,den er ,3
2,1,A,18,god ,3
2,1,B,18,god kun god ,3
2,1,A,18,ja ,3
2,1,B,19,den er den skal så ignoreres måske ,3
2,1,A,19,nej for den har prikkerne ,3
2,1,B,19,den har prikkerne og øjnene ,3
2,1,A,19,ja den ser god ud men den har de onde prikker ,3
2,1,B,19,men der er ikke noget at tappe fra den vel ,3
2,1,A,19,hva ,3
2,1,B,19,altså vi skal ikke have noget,3
2,1,A,19,nej hvis den den er ikke god på nogle måder ,3
2,1,B,19,der er ikke nogen,3
2,1,A,19,men jeg tror og jeg tror ikke vi behøves at dræbe den ,3
2,1,B,19,nej ,3
2,1,A,19,men det er eneren eller fireeren ,3
2,1,B,19,så vil jeg tro det er eneren fordi der er jo ikke umiddelbart noget vi skal bruge fra den ,3
2,1,A,19,heller ikke prikkerne ,3
2,1,B,19,nej det tror jeg ikke ,3
2,1,A,19,det vi finder vi så ud af ,3
2,1,B,20,prikkerne kan vi ikke bruge til noget de er bare ,3
2,1,A,20,jamen det er bare fordi før så havde vi jo en ja ,3
2,1,B,20,det er vel den samme ,3
2,1,A,20,men vi slog en ihjel på grund af at den havde prikker ,3
